Date : 2025-03-27 14:53:12
Directory : c:\Users\louis\SiteVitrineViadex
Total : 114 files,  15069 codes, 96 comments, 1047 blanks, all 16212 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toggle-group.tsx            | TypeScript JSX     |         51 |          0 |          9 |         60 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toggle.tsx                  | TypeScript JSX     |         38 |          0 |          6 |         44 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\tooltip.tsx                 | TypeScript JSX     |         22 |          0 |          7 |         29 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\use-toast.ts                | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\louis\SiteVitrineViadex\src\config\api.ts                                  | TypeScript         |         31 |         10 |          9 |         50 |
| c:\Users\louis\SiteVitrineViadex\src\context\AuthContext.tsx                        | TypeScript JSX     |         42 |          0 |         10 |         52 |
| c:\Users\louis\SiteVitrineViadex\src\hooks\use-toast.ts                             | TypeScript         |        159 |          2 |         31 |        192 |
| c:\Users\louis\SiteVitrineViadex\src\index.css                                      | CSS                |         40 |          0 |          5 |         45 |
| c:\Users\louis\SiteVitrineViadex\src\lib\utils.ts                                   | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\louis\SiteVitrineViadex\src\main.tsx                                       | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\louis\SiteVitrineViadex\src\pages\APropos.tsx                              | TypeScript JSX     |        181 |          5 |         25 |        211 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Admin.tsx                                | TypeScript JSX     |        106 |          0 |         10 |        116 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Blog.tsx                                 | TypeScript JSX     |        163 |          0 |         15 |        178 |
| c:\Users\louis\SiteVitrineViadex\src\pages\BlogPost.tsx                             | TypeScript JSX     |        170 |          0 |         18 |        188 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Calendar.tsx                             | TypeScript JSX     |        204 |          0 |         23 |        227 |
| c:\Users\louis\SiteVitrineViadex\src\pages\ConditionsUtilisation.tsx                | TypeScript JSX     |        102 |          0 |         15 |        117 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Confidentialite.tsx                      | TypeScript JSX     |        110 |          0 |         15 |        125 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Contact.tsx                              | TypeScript JSX     |         99 |          3 |         13 |        115 |
| c:\Users\louis\SiteVitrineViadex\src\pages\Cookies.tsx                              | TypeScript JSX     |        115 |          0 |         13 |        128 |
