"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 13, 128
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 9, 60
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\use-toast.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\louis\SiteVitrineViadex\src\config\api.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 10, 9, 50
"c:\Users\louis\SiteVitrineViadex\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\Users\louis\SiteVitrineViadex\src\hooks\use-toast.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 2, 31, 192
"c:\Users\louis\SiteVitrineViadex\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"c:\Users\louis\SiteVitrineViadex\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\louis\SiteVitrineViadex\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\louis\SiteVitrineViadex\src\pages\APropos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 5, 25, 211
"c:\Users\louis\SiteVitrineViadex\src\pages\Admin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 10, 116
"c:\Users\louis\SiteVitrineViadex\src\pages\Blog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 0, 15, 178
"c:\Users\louis\SiteVitrineViadex\src\pages\BlogPost.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 0, 18, 188
"c:\Users\louis\SiteVitrineViadex\src\pages\Calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 0, 23, 227
"c:\Users\louis\SiteVitrineViadex\src\pages\ConditionsUtilisation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 15, 117
"c:\Users\louis\SiteVitrineViadex\src\pages\Confidentialite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 15, 125
"c:\Users\louis\SiteVitrineViadex\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 3, 13, 115
"c:\Users\louis\SiteVitrineViadex\src\pages\Cookies.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 13, 128
"c:\Users\louis\SiteVitrineViadex\src\pages\Formation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\louis\SiteVitrineViadex\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"c:\Users\louis\SiteVitrineViadex\src\pages\MentionsLegales.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 85
"c:\Users\louis\SiteVitrineViadex\src\pages\Methodologie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 3, 9, 153
"c:\Users\louis\SiteVitrineViadex\src\pages\PourquoiViadex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 5, 15, 147
"c:\Users\louis\SiteVitrineViadex\src\pages\Services.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 3, 9, 132
"c:\Users\louis\SiteVitrineViadex\src\services\apiService.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 3, 12, 61
"c:\Users\louis\SiteVitrineViadex\src\services\authService.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 7, 6, 35
"c:\Users\louis\SiteVitrineViadex\src\services\blogService.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 8, 21, 145
"c:\Users\louis\SiteVitrineViadex\src\services\contactService.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 2, 15, 107
"c:\Users\louis\SiteVitrineViadex\src\services\databaseService.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\louis\SiteVitrineViadex\src\services\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\louis\SiteVitrineViadex\src\types\database.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 3, 9, 74
"c:\Users\louis\SiteVitrineViadex\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\louis\SiteVitrineViadex\tailwind.config.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\louis\SiteVitrineViadex\tsconfig.app.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 2, 4, 31
"c:\Users\louis\SiteVitrineViadex\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\louis\SiteVitrineViadex\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\louis\SiteVitrineViadex\vite.config.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"Total", "-", 19, 7268, 615, 34, 99, 6940, 77, 17, 96, 1047, 16212
